Ticker,FilingDate,PayRatio,MktCap,BookToMarket,begdate,enddate,date,AbnormalReturn,lnPayRatio,lnMktCap
KO,2018-03-08 00:00:00,230,195403.0,0.09,2018-03-07 00:00:00,2018-03-13 00:00:00,2018-03-07 00:00:00,0.0,5.438079308923196,12.182819371594762
LLY,2018-03-19 00:00:00,118,88684.0,0.13,2018-03-18 00:00:00,2018-03-24 00:00:00,2018-03-19 00:00:00,-0.019000000000000003,4.770684624465665,11.3928347687121
LMT,2018-03-16 00:00:00,186,91178.0,-0.01,2018-03-15 00:00:00,2018-03-21 00:00:00,2018-03-15 00:00:00,0.024,5.225746673713202,11.420568918892076
LOW,2018-04-20 00:00:00,469,86926.0,0.07,2018-04-19 00:00:00,2018-04-25 00:00:00,2018-04-19 00:00:00,-0.033,6.150602768446279,11.372812460980152
MA,2018-04-27 00:00:00,155,159533.0,0.03,2018-04-26 00:00:00,2018-05-02 00:00:00,2018-04-26 00:00:00,0.076,5.043425116919247,11.98000607635862
MCD,2018-04-12 00:00:00,3101,136680.0,-0.02,2018-04-11 00:00:00,2018-04-17 00:00:00,2018-04-11 00:00:00,-0.018999999999999996,8.03947991910045,11.825397706229229
MDLZ,2018-04-02 00:00:00,403,63692.0,0.41,2018-04-01 00:00:00,2018-04-07 00:00:00,2018-04-02 00:00:00,0.008,5.998936561946683,11.061814244976317
MDT,2018-08-24 00:00:00,239,119067.0,0.42,2018-08-23 00:00:00,2018-08-29 00:00:00,2018-08-23 00:00:00,-0.004,5.476463551931511,11.687441638864524
MMM,2018-03-21 00:00:00,324,140018.0,0.08,2018-03-20 00:00:00,2018-03-26 00:00:00,2018-03-20 00:00:00,-0.03,5.780743515792329,11.849526264755415
MO,2018-04-05 00:00:00,114,135769.0,0.11,2018-04-04 00:00:00,2018-04-10 00:00:00,2018-04-04 00:00:00,0.008999999999999998,4.736198448394496,11.818710191169838
MRK,2018-04-09 00:00:00,215,151738.0,0.23,2018-04-08 00:00:00,2018-04-14 00:00:00,2018-04-09 00:00:00,0.053000000000000005,5.3706380281276624,11.929910628364976
MS,2018-04-06 00:00:00,192,93821.0,0.73,2018-04-05 00:00:00,2018-04-11 00:00:00,2018-04-05 00:00:00,-0.018,5.2574953720277815,11.44914399053381
MSFT,2018-10-16 00:00:00,154,757029.0,0.11,2018-10-15 00:00:00,2018-10-21 00:00:00,2018-10-15 00:00:00,-0.006000000000000002,5.0369526024136295,13.537156840800737
NEE,2018-05-24 00:00:00,155,73565.0,0.38,2018-05-23 00:00:00,2018-05-29 00:00:00,2018-05-23 00:00:00,0.03899999999999999,5.043425116919247,11.205924648132047
NKE,2018-07-25 00:00:00,379,120956.0,0.07,2018-07-24 00:00:00,2018-07-30 00:00:00,2018-07-24 00:00:00,-0.0010000000000000009,5.937536205082426,11.703182122083508
ORCL,2018-09-26 00:00:00,282,169965.0,0.13,2018-09-25 00:00:00,2018-10-01 00:00:00,2018-09-25 00:00:00,0.013999999999999999,5.641907070938114,12.043347812482777
PEP,2018-03-16 00:00:00,650,170286.0,0.06,2018-03-15 00:00:00,2018-03-21 00:00:00,2018-03-15 00:00:00,-0.024,6.476972362889683,12.04523465540306
PFE,2018-03-15 00:00:00,313,216559.0,0.33,2018-03-14 00:00:00,2018-03-20 00:00:00,2018-03-14 00:00:00,0.007,5.746203190540153,12.285618306619597
PG,2018-08-24 00:00:00,287,195001.0,0.27,2018-08-23 00:00:00,2018-08-29 00:00:00,2018-08-23 00:00:00,-0.014000000000000002,5.659482215759621,12.180759965737863
PM,2018-03-29 00:00:00,325,164097.0,-0.07,2018-03-28 00:00:00,2018-04-03 00:00:00,2018-03-28 00:00:00,0.032,5.783825182329737,12.008212995375423
PYPL,2018-05-23 00:00:00,274,88344.0,0.18,2018-05-22 00:00:00,2018-05-28 00:00:00,2018-05-22 00:00:00,0.003,5.6131281063880705,11.388993563726967
SLB,2018-03-02 00:00:00,234,93263.0,0.4,2018-03-01 00:00:00,2018-03-07 00:00:00,2018-03-01 00:00:00,0.001,5.455321115357702,11.443178737977032
SO,2018-04-06 00:00:00,114,48456.0,0.5,2018-04-05 00:00:00,2018-04-11 00:00:00,2018-04-05 00:00:00,-0.009000000000000001,4.736198448394496,10.788411448660783
T,2018-03-12 00:00:00,366,238701.0,0.59,2018-03-11 00:00:00,2018-03-17 00:00:00,2018-03-12 00:00:00,0.008999999999999998,5.902633333401366,12.382967001677175
TGT,2018-05-04 00:00:00,408,40745.0,0.29,2018-05-03 00:00:00,2018-05-09 00:00:00,2018-05-03 00:00:00,-0.044,6.0112671744041615,10.61508841175432
TMO,2018-04-10 00:00:00,324,76202.0,0.33,2018-04-09 00:00:00,2018-04-15 00:00:00,2018-04-09 00:00:00,0.024,5.780743515792329,11.241142988049459
TXN,2018-03-13 00:00:00,210,102681.0,0.1,2018-03-12 00:00:00,2018-03-18 00:00:00,2018-03-12 00:00:00,-0.003,5.3471075307174685,11.53938237393259
UNP,2018-03-28 00:00:00,166,104721.0,0.24,2018-03-27 00:00:00,2018-04-02 00:00:00,2018-03-27 00:00:00,0.028999999999999998,5.111987788356544,11.559054949812444
UPS,2018-03-16 00:00:00,274,102661.0,0.01,2018-03-15 00:00:00,2018-03-21 00:00:00,2018-03-15 00:00:00,0.0019999999999999974,5.6131281063880705,11.539187576959117
USB,2018-03-06 00:00:00,205,88710.0,0.49,2018-03-05 00:00:00,2018-03-11 00:00:00,2018-03-05 00:00:00,0.002999999999999999,5.3230099791384085,11.393127901514633
V,2018-12-06 00:00:00,147,333175.0,0.09,2018-12-05 00:00:00,2018-12-11 00:00:00,2018-12-06 00:00:00,0.011000000000000003,4.990432586778736,12.716423156447927
VZ,2018-03-19 00:00:00,142,215927.0,0.2,2018-03-18 00:00:00,2018-03-24 00:00:00,2018-03-19 00:00:00,0.006,4.955827057601261,12.282695666580986
WBA,2018-12-06 00:00:00,435,65278.0,0.4,2018-12-05 00:00:00,2018-12-11 00:00:00,2018-12-06 00:00:00,0.012,6.075346031088684,11.086410351913756
WMT,2018-04-20 00:00:00,1188,275799.0,0.26,2018-04-19 00:00:00,2018-04-25 00:00:00,2018-04-19 00:00:00,0.021,7.080026499922591,12.527427618518956
XOM,2018-04-12 00:00:00,108,354550.0,0.53,2018-04-11 00:00:00,2018-04-17 00:00:00,2018-04-11 00:00:00,-0.002,4.68213122712422,12.778604658732142
