gvkey,datadate,FiscalYear,indfmt,consol,popsrc,datafmt,Ticker,conm,curcd,fyr,Book Value Per Share,costat,MktCap,Price Close - Annual - Fiscal,BookToMarket
6730,20171231,2017,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12,11.0401,A,88684,84.46,0.13
6730,20181231,2018,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12,9.76,A,116534,115.72,0.08
6730,20191231,2019,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12,2.8725,A,119276,131.43,0.02
6730,20201231,2020,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12,6.2229,A,153069,168.84,0.04
6730,20211231,2021,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12,9.9366,A,249607,276.22,0.04
6774,20171231,2017,INDL,C,D,STD,LMT,LOCKHEED MARTIN CORP,USD,12,-2.4049,A,91178,321.05,-0.01
6774,20181231,2018,INDL,C,D,STD,LMT,LOCKHEED MARTIN CORP,USD,12,4.9609,A,73577,261.84,0.02
6774,20191231,2019,INDL,C,D,STD,LMT,LOCKHEED MARTIN CORP,USD,12,11.1679,A,109026,389.38,0.03
6774,20201231,2020,INDL,C,D,STD,LMT,LOCKHEED MARTIN CORP,USD,12,21.5591,A,99039,354.98,0.06
6774,20211231,2021,INDL,C,D,STD,LMT,LOCKHEED MARTIN CORP,USD,12,40.4391,A,96316,355.41,0.11
6829,20170131,2016,INDL,C,D,STD,LOW,LOWE'S COS INC,USD,1,7.4296,A,63287,73.08,0.1
6829,20180131,2017,INDL,C,D,STD,LOW,LOWE'S COS INC,USD,1,7.0759,A,86926,104.73,0.07
6829,20190131,2018,INDL,C,D,STD,LOW,LOWE'S COS INC,USD,1,4.5493,A,77024,96.16,0.05
6829,20200131,2019,INDL,C,D,STD,LOW,LOWE'S COS INC,USD,1,2.5845,A,88691,116.24,0.02
6829,20210131,2020,INDL,C,D,STD,LOW,LOWE'S COS INC,USD,1,1.9658,A,121967,166.85,0.01
6829,20220131,2021,INDL,C,D,STD,LOW,LOWE'S COS INC,USD,1,-7.1881,A,159025,237.35,-0.03
7154,20171231,2017,INDL,C,D,STD,MCD,MCDONALD'S CORP,USD,12,-4.1154,A,136680,172.12,-0.02
7154,20181231,2018,INDL,C,D,STD,MCD,MCDONALD'S CORP,USD,12,-8.1585,A,136214,177.57,-0.05
7154,20191231,2019,INDL,C,D,STD,MCD,MCDONALD'S CORP,USD,12,-11.0013,A,147476,197.61,-0.06
7154,20201231,2020,INDL,C,D,STD,MCD,MCDONALD'S CORP,USD,12,-10.4976,A,159948,214.58,-0.05
7154,20211231,2021,INDL,C,D,STD,MCD,MCDONALD'S CORP,USD,12,-6.1775,A,199659,268.07,-0.02
7228,20170430,2016,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,4,36.7264,A,113786,83.09,0.44
7228,20180430,2017,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,4,37.4533,A,108513,80.13,0.47
7228,20190430,2018,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,4,37.3619,A,119067,88.81,0.42
7228,20200430,2019,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,4,37.8331,A,130929,97.63,0.39
7228,20210430,2020,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,4,38.225,A,176140,130.92,0.29
7228,20220430,2021,INDL,C,D,STD,MDT,MEDTRONIC PLC,USD,4,39.49,A,138876,104.36,0.38
7241,20171231,2017,INDL,C,D,STD,CVS,CVS HEALTH CORP,USD,12,37.1706,A,73515,72.5,0.51
7241,20181231,2018,INDL,C,D,STD,CVS,CVS HEALTH CORP,USD,12,44.9614,A,84848,65.52,0.69
7241,20191231,2019,INDL,C,D,STD,CVS,CVS HEALTH CORP,USD,12,49.0507,A,96726,74.29,0.66
7241,20201231,2020,INDL,C,D,STD,CVS,CVS HEALTH CORP,USD,12,52.9687,A,89473,68.3,0.78
7241,20211231,2021,INDL,C,D,STD,CVS,CVS HEALTH CORP,USD,12,56.789,A,136378,103.16,0.55
7257,20171231,2017,INDL,C,D,STD,MRK,MERCK & CO,USD,12,12.733,A,151738,56.27,0.23
7257,20181231,2018,INDL,C,D,STD,MRK,MERCK & CO,USD,12,10.2991,A,198098,76.41,0.13
7257,20191231,2019,INDL,C,D,STD,MRK,MERCK & CO,USD,12,10.2036,A,230924,90.95,0.11
